order_id,order_date,year,month,month_name,product,category,price,quantity,total_sales,customer_name,customer_location,payment_method,order_status,avg_order_value,is_cancelled
ORD0028,2025-02-03,2025,2,Feb,Headphones,Electronics,100.0,1,100.0,Jane Smith,Chicago,Amazon Pay,Completed,100.0,0
ORD0029,2025-02-12,2025,2,Feb,Smartphone,Electronics,500.0,1,500.0,Sophia Miller,Denver,Credit Card,Cancelled,500.0,1
ORD0030,2025-02-10,2025,2,Feb,Washing Machine,Home Appliances,600.0,3,1800.0,Emily Johnson,Dallas,Gift Card,Cancelled,600.0,1
ORD0031,2025-03-24,2025,3,Mar,Smartphone,Electronics,500.0,1,500.0,John Doe,Houston,Gift Card,Pending,500.0,0
ORD0032,2025-03-10,2025,3,Mar,Smartphone,Electronics,500.0,4,2000.0,Michael Brown,Seattle,PayPal,Pending,500.0,0
ORD0033,2025-02-04,2025,2,Feb,Book,Books,15.0,1,15.0,Olivia Wilson,New York,Debit Card,Cancelled,15.0,1
ORD0034,2025-04-02,2025,4,Apr,T-Shirt,Clothing,20.0,5,100.0,Jane Smith,New York,Credit Card,Pending,20.0,0
ORD0035,2025-04-02,2025,4,Apr,Laptop,Electronics,800.0,3,2400.0,Emma Clark,Denver,Amazon Pay,Completed,800.0,0
ORD0036,2025-02-09,2025,2,Feb,Refrigerator,Home Appliances,1200.0,2,2400.0,Sophia Miller,Boston,PayPal,Cancelled,1200.0,1
ORD0037,2025-02-16,2025,2,Feb,Headphones,Electronics,100.0,3,300.0,Michael Brown,New York,Debit Card,Cancelled,100.0,1
ORD0038,2025-03-26,2025,3,Mar,Laptop,Electronics,800.0,3,2400.0,Olivia Wilson,Chicago,Amazon Pay,Completed,800.0,0
ORD0039,2025-03-02,2025,3,Mar,Laptop,Electronics,800.0,2,1600.0,Olivia Wilson,San Francisco,PayPal,Completed,800.0,0
ORD0040,2025-03-26,2025,3,Mar,Smartwatch,Electronics,150.0,1,150.0,Emily Johnson,Seattle,Gift Card,Pending,150.0,0
ORD0041,2025-02-20,2025,2,Feb,Book,Books,15.0,1,15.0,Jane Smith,Miami,Credit Card,Cancelled,15.0,1
ORD0042,2025-03-17,2025,3,Mar,Headphones,Electronics,100.0,3,300.0,Jane Smith,Chicago,Amazon Pay,Cancelled,100.0,1
ORD0043,2025-02-08,2025,2,Feb,T-Shirt,Clothing,20.0,4,80.0,Jane Smith,Denver,Credit Card,Pending,20.0,0
ORD0044,2025-03-24,2025,3,Mar,Smartwatch,Electronics,150.0,1,150.0,Chris White,Houston,Debit Card,Pending,150.0,0
ORD0045,2025-03-15,2025,3,Mar,Refrigerator,Home Appliances,1200.0,3,3600.0,Daniel Harris,New York,Credit Card,Pending,1200.0,0
ORD0046,2025-03-06,2025,3,Mar,Running Shoes,Footwear,60.0,2,120.0,David Lee,Houston,Debit Card,Cancelled,60.0,1
ORD0047,2025-03-26,2025,3,Mar,T-Shirt,Clothing,20.0,2,40.0,Chris White,Miami,Gift Card,Cancelled,20.0,1
ORD0048,2025-02-11,2025,2,Feb,T-Shirt,Clothing,20.0,5,100.0,Jane Smith,Denver,Amazon Pay,Completed,20.0,0
ORD0049,2025-02-18,2025,2,Feb,Smartphone,Electronics,500.0,4,2000.0,Emma Clark,Chicago,Debit Card,Completed,500.0,0
ORD0050,2025-03-14,2025,3,Mar,Jeans,Clothing,40.0,3,120.0,John Doe,Boston,Gift Card,Completed,40.0,0
ORD0051,2025-02-19,2025,2,Feb,Book,Books,15.0,1,15.0,Emma Clark,Houston,Gift Card,Cancelled,15.0,1
ORD0052,2025-02-24,2025,2,Feb,Laptop,Electronics,800.0,3,2400.0,John Doe,San Francisco,Credit Card,Pending,800.0,0
ORD0053,2025-03-24,2025,3,Mar,Running Shoes,Footwear,60.0,4,240.0,Emily Johnson,Los Angeles,PayPal,Completed,60.0,0
ORD0054,2025-03-15,2025,3,Mar,Smartwatch,Electronics,150.0,3,450.0,David Lee,Boston,Gift Card,Pending,150.0,0
ORD0055,2025-03-15,2025,3,Mar,Jeans,Clothing,40.0,2,80.0,Sophia Miller,Dallas,PayPal,Completed,40.0,0
ORD0056,2025-03-19,2025,3,Mar,Smartwatch,Electronics,150.0,2,300.0,Emma Clark,Dallas,Credit Card,Completed,150.0,0
ORD0057,2025-03-15,2025,3,Mar,Smartphone,Electronics,500.0,1,500.0,Jane Smith,Los Angeles,Debit Card,Cancelled,500.0,1
ORD0058,2025-03-13,2025,3,Mar,Smartphone,Electronics,500.0,1,500.0,Jane Smith,Chicago,PayPal,Cancelled,500.0,1
ORD0059,2025-04-01,2025,4,Apr,Smartwatch,Electronics,150.0,2,300.0,Daniel Harris,Dallas,Credit Card,Cancelled,150.0,1
ORD0060,2025-03-12,2025,3,Mar,Book,Books,15.0,5,75.0,Jane Smith,Dallas,Credit Card,Pending,15.0,0
ORD0061,2025-03-11,2025,3,Mar,Refrigerator,Home Appliances,1200.0,1,1200.0,Jane Smith,New York,PayPal,Cancelled,1200.0,1
ORD0062,2025-02-10,2025,2,Feb,Laptop,Electronics,800.0,5,4000.0,Olivia Wilson,San Francisco,PayPal,Completed,800.0,0
ORD0063,2025-03-30,2025,3,Mar,Smartphone,Electronics,500.0,5,2500.0,Emma Clark,Miami,Gift Card,Completed,500.0,0
ORD0064,2025-02-13,2025,2,Feb,Refrigerator,Home Appliances,1200.0,4,4800.0,Emily Johnson,Denver,PayPal,Pending,1200.0,0
ORD0065,2025-03-16,2025,3,Mar,Book,Books,15.0,3,45.0,Emma Clark,San Francisco,Amazon Pay,Pending,15.0,0
ORD0066,2025-03-14,2025,3,Mar,Smartwatch,Electronics,150.0,2,300.0,Michael Brown,Denver,PayPal,Pending,150.0,0
ORD0067,2025-03-31,2025,3,Mar,Headphones,Electronics,100.0,3,300.0,Chris White,New York,Debit Card,Pending,100.0,0
ORD0068,2025-02-23,2025,2,Feb,Headphones,Electronics,100.0,1,100.0,David Lee,Houston,Debit Card,Cancelled,100.0,1
ORD0069,2025-02-25,2025,2,Feb,Refrigerator,Home Appliances,1200.0,4,4800.0,David Lee,Boston,Gift Card,Pending,1200.0,0
ORD0070,2025-03-10,2025,3,Mar,Book,Books,15.0,1,15.0,Emily Johnson,Boston,Credit Card,Completed,15.0,0
ORD0071,2025-03-16,2025,3,Mar,Smartwatch,Electronics,150.0,5,750.0,John Doe,Denver,Credit Card,Pending,150.0,0
ORD0072,2025-03-07,2025,3,Mar,Laptop,Electronics,800.0,3,2400.0,Daniel Harris,Houston,Credit Card,Pending,800.0,0
ORD0073,2025-02-20,2025,2,Feb,Smartphone,Electronics,500.0,5,2500.0,Emily Johnson,Miami,Credit Card,Cancelled,500.0,1
ORD0074,2025-03-25,2025,3,Mar,Refrigerator,Home Appliances,1200.0,4,4800.0,Jane Smith,Dallas,Gift Card,Cancelled,1200.0,1
ORD0075,2025-02-26,2025,2,Feb,Headphones,Electronics,100.0,2,200.0,Daniel Harris,Boston,PayPal,Pending,100.0,0
ORD0076,2025-02-24,2025,2,Feb,Washing Machine,Home Appliances,600.0,1,600.0,Jane Smith,Dallas,Amazon Pay,Completed,600.0,0
ORD0077,2025-03-20,2025,3,Mar,Headphones,Electronics,100.0,2,200.0,Daniel Harris,Houston,Credit Card,Completed,100.0,0
ORD0078,2025-03-18,2025,3,Mar,Smartwatch,Electronics,150.0,2,300.0,Emma Clark,Los Angeles,Gift Card,Cancelled,150.0,1
ORD0079,2025-03-09,2025,3,Mar,Running Shoes,Footwear,60.0,2,120.0,Emily Johnson,Denver,Gift Card,Cancelled,60.0,1
ORD0080,2025-02-23,2025,2,Feb,Running Shoes,Footwear,60.0,4,240.0,Sophia Miller,San Francisco,Debit Card,Pending,60.0,0
ORD0081,2025-02-26,2025,2,Feb,Headphones,Electronics,100.0,3,300.0,Michael Brown,Chicago,PayPal,Cancelled,100.0,1
ORD0082,2025-02-24,2025,2,Feb,Smartphone,Electronics,500.0,3,1500.0,Jane Smith,Seattle,Debit Card,Cancelled,500.0,1
ORD0083,2025-02-28,2025,2,Feb,Washing Machine,Home Appliances,600.0,4,2400.0,Emma Clark,Houston,Gift Card,Cancelled,600.0,1
ORD0084,2025-02-14,2025,2,Feb,T-Shirt,Clothing,20.0,5,100.0,Olivia Wilson,Boston,PayPal,Completed,20.0,0
ORD0085,2025-02-06,2025,2,Feb,Smartphone,Electronics,500.0,5,2500.0,Michael Brown,Houston,PayPal,Completed,500.0,0
ORD0086,2025-02-25,2025,2,Feb,Smartwatch,Electronics,150.0,5,750.0,Jane Smith,Dallas,PayPal,Cancelled,150.0,1
ORD0087,2025-03-13,2025,3,Mar,Running Shoes,Footwear,60.0,5,300.0,Emma Clark,Miami,Debit Card,Completed,60.0,0
ORD0088,2025-02-06,2025,2,Feb,Refrigerator,Home Appliances,1200.0,2,2400.0,Chris White,Seattle,Debit Card,Pending,1200.0,0
ORD0089,2025-03-26,2025,3,Mar,Running Shoes,Footwear,60.0,5,300.0,Emma Clark,Los Angeles,Credit Card,Cancelled,60.0,1
ORD0090,2025-03-24,2025,3,Mar,Smartwatch,Electronics,150.0,5,750.0,Emily Johnson,Houston,Amazon Pay,Completed,150.0,0
ORD0091,2025-02-03,2025,2,Feb,Laptop,Electronics,800.0,4,3200.0,Daniel Harris,Houston,Gift Card,Pending,800.0,0
ORD0092,2025-03-15,2025,3,Mar,Smartphone,Electronics,500.0,2,1000.0,Olivia Wilson,Boston,PayPal,Cancelled,500.0,1
ORD0093,2025-03-06,2025,3,Mar,Refrigerator,Home Appliances,1200.0,5,6000.0,David Lee,Denver,PayPal,Cancelled,1200.0,1
ORD0094,2025-03-25,2025,3,Mar,Jeans,Clothing,40.0,5,200.0,Daniel Harris,Seattle,Credit Card,Cancelled,40.0,1
ORD0095,2025-02-17,2025,2,Feb,Smartwatch,Electronics,150.0,4,600.0,Chris White,New York,Debit Card,Cancelled,150.0,1
ORD0096,2025-03-30,2025,3,Mar,Smartwatch,Electronics,150.0,3,450.0,Jane Smith,New York,Amazon Pay,Completed,150.0,0
ORD0097,2025-03-25,2025,3,Mar,Book,Books,15.0,5,75.0,Olivia Wilson,Chicago,Amazon Pay,Pending,15.0,0
ORD0098,2025-02-14,2025,2,Feb,Smartwatch,Electronics,150.0,2,300.0,Chris White,Miami,PayPal,Pending,150.0,0
ORD0099,2025-02-18,2025,2,Feb,Washing Machine,Home Appliances,600.0,5,3000.0,Michael Brown,Seattle,Debit Card,Completed,600.0,0
ORD0100,2025-02-13,2025,2,Feb,Running Shoes,Footwear,60.0,1,60.0,Jane Smith,Houston,Gift Card,Cancelled,60.0,1
ORD0101,2025-02-20,2025,2,Feb,Book,Books,15.0,5,75.0,John Doe,Denver,PayPal,Pending,15.0,0
ORD0102,2025-02-28,2025,2,Feb,Smartphone,Electronics,500.0,2,1000.0,David Lee,Boston,PayPal,Pending,500.0,0
ORD0103,2025-03-14,2025,3,Mar,T-Shirt,Clothing,20.0,2,40.0,Michael Brown,Chicago,PayPal,Pending,20.0,0
ORD0104,2025-02-22,2025,2,Feb,Jeans,Clothing,40.0,5,200.0,Jane Smith,Dallas,Debit Card,Pending,40.0,0
ORD0105,2025-03-16,2025,3,Mar,Jeans,Clothing,40.0,1,40.0,Jane Smith,Boston,Debit Card,Pending,40.0,0
ORD0106,2025-03-15,2025,3,Mar,T-Shirt,Clothing,20.0,3,60.0,Olivia Wilson,Chicago,PayPal,Pending,20.0,0
ORD0107,2025-03-19,2025,3,Mar,Jeans,Clothing,40.0,3,120.0,Olivia Wilson,Dallas,Credit Card,Cancelled,40.0,1
ORD0108,2025-03-16,2025,3,Mar,Headphones,Electronics,100.0,2,200.0,Daniel Harris,Miami,PayPal,Pending,100.0,0
ORD0109,2025-03-17,2025,3,Mar,Jeans,Clothing,40.0,5,200.0,Michael Brown,New York,PayPal,Completed,40.0,0
ORD0110,2025-02-18,2025,2,Feb,Smartphone,Electronics,500.0,5,2500.0,Olivia Wilson,Dallas,Amazon Pay,Pending,500.0,0
ORD0111,2025-03-31,2025,3,Mar,Laptop,Electronics,800.0,4,3200.0,Emma Clark,Los Angeles,Credit Card,Completed,800.0,0
ORD0112,2025-03-06,2025,3,Mar,Washing Machine,Home Appliances,600.0,2,1200.0,David Lee,Dallas,Gift Card,Cancelled,600.0,1
ORD0113,2025-03-19,2025,3,Mar,Book,Books,15.0,5,75.0,David Lee,San Francisco,Debit Card,Pending,15.0,0
ORD0114,2025-02-23,2025,2,Feb,Running Shoes,Footwear,60.0,1,60.0,Emma Clark,Houston,Credit Card,Pending,60.0,0
ORD0115,2025-03-21,2025,3,Mar,Running Shoes,Footwear,60.0,3,180.0,Olivia Wilson,Miami,Amazon Pay,Completed,60.0,0
ORD0116,2025-03-19,2025,3,Mar,Laptop,Electronics,800.0,4,3200.0,Emma Clark,Los Angeles,Amazon Pay,Completed,800.0,0
ORD0117,2025-02-27,2025,2,Feb,T-Shirt,Clothing,20.0,1,20.0,Daniel Harris,New York,Credit Card,Completed,20.0,0
ORD0118,2025-02-10,2025,2,Feb,Headphones,Electronics,100.0,5,500.0,John Doe,Houston,Amazon Pay,Completed,100.0,0
ORD0119,2025-03-16,2025,3,Mar,Smartphone,Electronics,500.0,2,1000.0,Chris White,Chicago,PayPal,Pending,500.0,0
ORD0120,2025-02-16,2025,2,Feb,Laptop,Electronics,800.0,5,4000.0,Emily Johnson,Denver,PayPal,Completed,800.0,0
ORD0121,2025-02-18,2025,2,Feb,Smartphone,Electronics,500.0,1,500.0,John Doe,Dallas,Gift Card,Pending,500.0,0
ORD0122,2025-03-28,2025,3,Mar,Laptop,Electronics,800.0,3,2400.0,John Doe,Miami,Credit Card,Cancelled,800.0,1
ORD0123,2025-02-23,2025,2,Feb,Book,Books,15.0,3,45.0,Chris White,Boston,Gift Card,Cancelled,15.0,1
ORD0124,2025-02-10,2025,2,Feb,Book,Books,15.0,1,15.0,Emma Clark,Seattle,Gift Card,Pending,15.0,0
ORD0125,2025-02-23,2025,2,Feb,Smartphone,Electronics,500.0,1,500.0,Emily Johnson,Denver,Amazon Pay,Completed,500.0,0
ORD0126,2025-02-04,2025,2,Feb,Refrigerator,Home Appliances,1200.0,5,6000.0,Olivia Wilson,Chicago,Gift Card,Pending,1200.0,0
ORD0127,2025-02-18,2025,2,Feb,T-Shirt,Clothing,20.0,3,60.0,Emma Clark,Dallas,Debit Card,Completed,20.0,0
ORD0128,2025-03-23,2025,3,Mar,Smartwatch,Electronics,150.0,2,300.0,Emily Johnson,Dallas,PayPal,Cancelled,150.0,1
ORD0129,2025-02-26,2025,2,Feb,Jeans,Clothing,40.0,5,200.0,Emily Johnson,New York,Debit Card,Pending,40.0,0
ORD0130,2025-02-10,2025,2,Feb,Smartwatch,Electronics,150.0,5,750.0,David Lee,Boston,PayPal,Completed,150.0,0
ORD0131,2025-02-26,2025,2,Feb,Jeans,Clothing,40.0,2,80.0,Daniel Harris,Chicago,Credit Card,Pending,40.0,0
ORD0132,2025-03-07,2025,3,Mar,Smartphone,Electronics,500.0,2,1000.0,Olivia Wilson,Chicago,Debit Card,Pending,500.0,0
ORD0133,2025-02-23,2025,2,Feb,Laptop,Electronics,800.0,1,800.0,Emily Johnson,New York,Amazon Pay,Pending,800.0,0
ORD0134,2025-02-07,2025,2,Feb,Smartphone,Electronics,500.0,5,2500.0,David Lee,Chicago,Gift Card,Pending,500.0,0
ORD0135,2025-02-10,2025,2,Feb,T-Shirt,Clothing,20.0,1,20.0,Olivia Wilson,Miami,Credit Card,Pending,20.0,0
ORD0136,2025-02-11,2025,2,Feb,Refrigerator,Home Appliances,1200.0,2,2400.0,Daniel Harris,San Francisco,PayPal,Cancelled,1200.0,1
ORD0137,2025-03-20,2025,3,Mar,Smartwatch,Electronics,150.0,3,450.0,Sophia Miller,San Francisco,Debit Card,Completed,150.0,0
ORD0138,2025-02-11,2025,2,Feb,Smartwatch,Electronics,150.0,5,750.0,John Doe,Los Angeles,Credit Card,Cancelled,150.0,1
ORD0139,2025-03-18,2025,3,Mar,Laptop,Electronics,800.0,2,1600.0,Michael Brown,Denver,PayPal,Cancelled,800.0,1
ORD0140,2025-03-19,2025,3,Mar,Smartwatch,Electronics,150.0,2,300.0,Olivia Wilson,Miami,Debit Card,Completed,150.0,0
ORD0141,2025-03-21,2025,3,Mar,Smartphone,Electronics,500.0,2,1000.0,John Doe,Miami,PayPal,Completed,500.0,0
ORD0142,2025-03-15,2025,3,Mar,Smartphone,Electronics,500.0,3,1500.0,Sophia Miller,Miami,Gift Card,Completed,500.0,0
ORD0143,2025-03-31,2025,3,Mar,Refrigerator,Home Appliances,1200.0,2,2400.0,Jane Smith,Dallas,PayPal,Cancelled,1200.0,1
ORD0144,2025-02-27,2025,2,Feb,Jeans,Clothing,40.0,2,80.0,Michael Brown,Los Angeles,Gift Card,Cancelled,40.0,1
ORD0145,2025-03-08,2025,3,Mar,Smartwatch,Electronics,150.0,2,300.0,Michael Brown,Seattle,Debit Card,Cancelled,150.0,1
ORD0146,2025-03-25,2025,3,Mar,Smartwatch,Electronics,150.0,2,300.0,Emma Clark,Boston,Debit Card,Completed,150.0,0
ORD0147,2025-02-05,2025,2,Feb,Running Shoes,Footwear,60.0,5,300.0,Jane Smith,Dallas,PayPal,Pending,60.0,0
ORD0148,2025-02-06,2025,2,Feb,Headphones,Electronics,100.0,4,400.0,Emily Johnson,Los Angeles,Amazon Pay,Cancelled,100.0,1
ORD0149,2025-03-20,2025,3,Mar,Running Shoes,Footwear,60.0,3,180.0,Michael Brown,New York,Gift Card,Pending,60.0,0
ORD0150,2025-02-08,2025,2,Feb,Book,Books,15.0,4,60.0,Daniel Harris,Chicago,Gift Card,Cancelled,15.0,1
ORD0151,2025-03-29,2025,3,Mar,Washing Machine,Home Appliances,600.0,4,2400.0,Jane Smith,Los Angeles,Amazon Pay,Pending,600.0,0
ORD0152,2025-02-28,2025,2,Feb,Smartwatch,Electronics,150.0,1,150.0,John Doe,Seattle,Gift Card,Completed,150.0,0
ORD0153,2025-02-23,2025,2,Feb,Smartwatch,Electronics,150.0,5,750.0,Sophia Miller,San Francisco,PayPal,Pending,150.0,0
ORD0154,2025-03-01,2025,3,Mar,Headphones,Electronics,100.0,2,200.0,John Doe,Denver,Debit Card,Completed,100.0,0
ORD0155,2025-02-05,2025,2,Feb,Refrigerator,Home Appliances,1200.0,4,4800.0,Sophia Miller,Seattle,Credit Card,Pending,1200.0,0
ORD0156,2025-03-16,2025,3,Mar,Smartwatch,Electronics,150.0,4,600.0,Olivia Wilson,Miami,PayPal,Cancelled,150.0,1
ORD0157,2025-02-08,2025,2,Feb,Smartphone,Electronics,500.0,3,1500.0,Sophia Miller,Denver,Credit Card,Pending,500.0,0
ORD0158,2025-02-24,2025,2,Feb,Laptop,Electronics,800.0,3,2400.0,Chris White,Miami,Debit Card,Pending,800.0,0
ORD0159,2025-02-16,2025,2,Feb,T-Shirt,Clothing,20.0,2,40.0,David Lee,Dallas,Gift Card,Cancelled,20.0,1
ORD0160,2025-02-06,2025,2,Feb,Washing Machine,Home Appliances,600.0,3,1800.0,Olivia Wilson,Denver,Gift Card,Cancelled,600.0,1
ORD0161,2025-02-22,2025,2,Feb,Headphones,Electronics,100.0,1,100.0,Emily Johnson,Los Angeles,Credit Card,Completed,100.0,0
ORD0162,2025-02-09,2025,2,Feb,Smartphone,Electronics,500.0,2,1000.0,Olivia Wilson,Chicago,Credit Card,Completed,500.0,0
ORD0163,2025-02-20,2025,2,Feb,Running Shoes,Footwear,60.0,2,120.0,Chris White,Houston,PayPal,Completed,60.0,0
ORD0164,2025-02-25,2025,2,Feb,Smartwatch,Electronics,150.0,5,750.0,Michael Brown,Boston,Debit Card,Pending,150.0,0
ORD0165,2025-03-14,2025,3,Mar,Book,Books,15.0,1,15.0,David Lee,New York,Amazon Pay,Pending,15.0,0
ORD0166,2025-03-30,2025,3,Mar,Washing Machine,Home Appliances,600.0,4,2400.0,Chris White,Houston,Credit Card,Pending,600.0,0
ORD0167,2025-03-20,2025,3,Mar,Refrigerator,Home Appliances,1200.0,2,2400.0,Olivia Wilson,Seattle,Credit Card,Completed,1200.0,0
ORD0168,2025-03-24,2025,3,Mar,Laptop,Electronics,800.0,5,4000.0,Michael Brown,Miami,Debit Card,Pending,800.0,0
ORD0169,2025-03-06,2025,3,Mar,Refrigerator,Home Appliances,1200.0,2,2400.0,John Doe,Denver,PayPal,Completed,1200.0,0
ORD0170,2025-02-28,2025,2,Feb,Laptop,Electronics,800.0,1,800.0,Emma Clark,San Francisco,Gift Card,Pending,800.0,0
ORD0171,2025-02-28,2025,2,Feb,Smartwatch,Electronics,150.0,2,300.0,Daniel Harris,Houston,PayPal,Completed,150.0,0
ORD0172,2025-03-12,2025,3,Mar,Book,Books,15.0,1,15.0,David Lee,Miami,Debit Card,Cancelled,15.0,1
ORD0173,2025-02-28,2025,2,Feb,Refrigerator,Home Appliances,1200.0,1,1200.0,Olivia Wilson,Seattle,PayPal,Completed,1200.0,0
ORD0174,2025-03-13,2025,3,Mar,Smartwatch,Electronics,150.0,2,300.0,David Lee,Chicago,Debit Card,Pending,150.0,0
ORD0175,2025-03-24,2025,3,Mar,Jeans,Clothing,40.0,5,200.0,David Lee,New York,Debit Card,Cancelled,40.0,1
ORD0176,2025-03-27,2025,3,Mar,Book,Books,15.0,1,15.0,Michael Brown,Boston,Amazon Pay,Completed,15.0,0
ORD0177,2025-03-14,2025,3,Mar,Book,Books,15.0,5,75.0,David Lee,San Francisco,Credit Card,Pending,15.0,0
ORD0178,2025-02-06,2025,2,Feb,Smartphone,Electronics,500.0,3,1500.0,Emily Johnson,Chicago,PayPal,Completed,500.0,0
ORD0179,2025-03-25,2025,3,Mar,Jeans,Clothing,40.0,1,40.0,Olivia Wilson,Seattle,PayPal,Cancelled,40.0,1
ORD0180,2025-03-04,2025,3,Mar,Refrigerator,Home Appliances,1200.0,3,3600.0,David Lee,Boston,Gift Card,Completed,1200.0,0
ORD0181,2025-03-03,2025,3,Mar,Running Shoes,Footwear,60.0,2,120.0,David Lee,Los Angeles,Debit Card,Cancelled,60.0,1
ORD0182,2025-04-02,2025,4,Apr,T-Shirt,Clothing,20.0,5,100.0,Emma Clark,Denver,PayPal,Completed,20.0,0
ORD0183,2025-03-25,2025,3,Mar,Washing Machine,Home Appliances,600.0,1,600.0,Emma Clark,Seattle,Debit Card,Pending,600.0,0
ORD0184,2025-02-17,2025,2,Feb,Book,Books,15.0,5,75.0,Daniel Harris,Miami,Debit Card,Pending,15.0,0
ORD0185,2025-03-22,2025,3,Mar,T-Shirt,Clothing,20.0,1,20.0,Chris White,Dallas,Debit Card,Completed,20.0,0
ORD0186,2025-03-02,2025,3,Mar,Washing Machine,Home Appliances,600.0,4,2400.0,Michael Brown,New York,PayPal,Completed,600.0,0
ORD0187,2025-03-13,2025,3,Mar,Laptop,Electronics,800.0,3,2400.0,John Doe,New York,PayPal,Pending,800.0,0
ORD0188,2025-02-14,2025,2,Feb,Book,Books,15.0,1,15.0,John Doe,Boston,Amazon Pay,Completed,15.0,0
ORD0189,2025-02-10,2025,2,Feb,Laptop,Electronics,800.0,3,2400.0,Jane Smith,Houston,Amazon Pay,Completed,800.0,0
ORD0190,2025-02-23,2025,2,Feb,Running Shoes,Footwear,60.0,1,60.0,Sophia Miller,Houston,PayPal,Completed,60.0,0
ORD0191,2025-02-28,2025,2,Feb,Jeans,Clothing,40.0,4,160.0,John Doe,Seattle,Amazon Pay,Pending,40.0,0
ORD0192,2025-03-31,2025,3,Mar,Headphones,Electronics,100.0,3,300.0,Sophia Miller,Dallas,Gift Card,Pending,100.0,0
ORD0193,2025-03-30,2025,3,Mar,Book,Books,15.0,5,75.0,David Lee,Chicago,Amazon Pay,Pending,15.0,0
